,train_accuracy,validation_accuracy,train_loss,validation_loss,human_error,avoidable_bias,variance
44,0.8014999955892563,0.8299999982118607,0.43199619638423126,0.35182817429304125,0.005,0.19350000441074366,-0.028500002622604326
45,0.8006666605671247,0.8299999922513962,0.4238110308845838,0.3570745691657066,0.005,0.19433333943287534,-0.029333331684271546
46,0.7981666619578998,0.8269999980926513,0.4282965095092853,0.36629986613988874,0.005,0.19683333804210024,-0.028833336134751586
47,0.8008333280682564,0.8269999921321869,0.42292334226270517,0.36133088991045953,0.005,0.19416667193174364,-0.026166664063930534
48,0.8069999933242797,0.8519999891519546,0.4203183817366759,0.3333885930478573,0.005,0.18800000667572025,-0.04499999582767489
49,0.806333327293396,0.821999990940094,0.4169819583495458,0.38294349163770675,0.005,0.18866667270660398,-0.015666663646697998
50,0.807333326836427,0.8589999914169312,0.4210652860502402,0.34560931250453,0.005,0.187666673163573,-0.051666664580504174
51,0.8076666613419851,0.8589999973773956,0.41446314280231794,0.3332824222743511,0.005,0.18733333865801494,-0.05133333603541057
52,0.8089999948938688,0.8269999891519546,0.4111043478051821,0.36309191584587097,0.005,0.18600000510613124,-0.01799999425808585
53,0.8103333289424578,0.8269999980926513,0.40493536194165547,0.37744051590561867,0.005,0.1846666710575422,-0.016666669150193547
54,0.8133333280682564,0.8169999927282333,0.40562465513745943,0.39000981897115705,0.005,0.18166667193174357,-0.0036666646599768926
55,0.8148333291212718,0.8369999974966049,0.40301077576975025,0.36308248341083527,0.005,0.18016667087872817,-0.0221666683753331
56,0.8068333297967911,0.8209999918937683,0.4121540299306313,0.3861349329352379,0.005,0.18816667020320887,-0.014166662096977145
57,0.813999991118908,0.8659999936819076,0.4041815814872583,0.32239484414458275,0.005,0.18100000888109202,-0.052000002562999637
58,0.8094999954104424,0.8510000020265579,0.3966616466641426,0.3255300723016262,0.005,0.18550000458955762,-0.041500006616115526
59,0.8114999930063883,0.8029999941587448,0.4045989103615284,0.42778189182281495,0.005,0.1835000069936117,0.00849999884764352
60,0.830666662255923,0.7979999929666519,0.37865953681369624,0.4211458325386047,0.005,0.164333337744077,0.03266666928927109
61,0.8223333289225896,0.8529999941587448,0.3854458720733722,0.32639036476612093,0.005,0.1726666710774104,-0.030666665236155244
62,0.8228333259622256,0.8659999996423722,0.3886126940449079,0.293307576328516,0.005,0.17216667403777441,-0.043166673680146594
63,0.8168333277106286,0.8689999908208847,0.3914923116564751,0.3004508264362812,0.005,0.17816667228937144,-0.052166663110256195
64,0.8276666606465976,0.8629999965429306,0.37920663356781004,0.300924564152956,0.005,0.16733333935340244,-0.03533333589633303
65,0.8231666619578998,0.8589999914169312,0.38247680018345515,0.32587269246578215,0.005,0.17183333804210021,-0.03583332945903139
66,0.8321666608254115,0.8619999945163727,0.37485944566627344,0.3144456662237644,0.005,0.16283333917458853,-0.029833333690961195
67,0.8263333270947139,0.8709999948740006,0.37439389402667683,0.31179562360048296,0.005,0.16866667290528614,-0.04466666777928674
68,0.830333327750365,0.8669999957084655,0.37433130778372287,0.30105421841144564,0.005,0.16466667224963505,-0.036666667958100585
69,0.833999993900458,0.8799999922513961,0.3660262773434321,0.2961393855512142,0.005,0.16100000609954201,-0.045999998350938154
70,0.8298333287239075,0.8649999916553497,0.3706679952641328,0.31577936336398127,0.005,0.16516667127609252,-0.035166662931442216
71,0.8388333270947138,0.8369999945163726,0.35731321610510347,0.3539403401315212,0.005,0.15616667290528619,0.0018333325783411736
